aX,aY,aZ,gX,gY,gZ
-0.355,0.063,0.956,6.104,86.975,-21.790
-0.349,-0.006,0.682,22.400,81.177,-24.475
-0.337,-0.060,0.549,31.555,62.073,-23.132
-0.324,-0.039,0.507,24.658,36.987,-15.808
-0.319,-0.004,0.584,12.695,11.230,-8.911
-0.317,0.041,0.811,2.197,-13.062,-5.554
-0.301,0.086,1.073,-5.493,-27.893,-3.845
-0.268,0.091,1.291,-5.005,-31.494,-4.089
-0.248,0.117,1.426,-4.883,-25.208,-5.127
-0.237,0.153,1.492,-5.615,-13.306,-6.531
-0.231,0.156,1.491,-4.761,0.732,-10.925
-0.217,0.122,1.396,-4.028,16.663,-16.724
-0.184,0.086,1.270,-3.174,29.358,-20.752
-0.167,0.032,1.138,-5.432,36.865,-23.743
-0.143,0.004,0.967,-7.446,40.527,-24.902
-0.143,-0.036,0.891,-6.653,38.574,-24.658
-0.127,-0.050,0.793,-0.977,34.851,-21.790
-0.127,-0.050,0.770,1.648,26.550,-17.151
-0.132,-0.012,0.759,3.296,18.005,-11.353
